Temp,Windspeed,Wind direction,Atmospheric,Insolation,Rain,SIS11A_12.5-X,SIS11A_13.0-X,SIS11A_13.5-X,SIS11A_14.0-X,SIS11A_14.5-X,SIS11A_15.0-X,SIS11A_15.5-X,SIS11A_16.0-X,SIS11A_16.5-X,SIS11A_17.0-X,SIS11A_17.5-X,SIS11A_18.0-X,SIS20_15.0-X,SIS20_15.5-X,SIS20_16.0-X,SIS20_16.5-X,SIS20_17.0-X,SIS20_17.5-X,SIS20_18.0-X,SIS20_18.5-X,SIS20_19.0-X,SIS20_19.5-X,SIS20_20.0-X,SIS20_20.5-X
25.3,2.3,37,851,0,0,171.154007,170.9940033,174.8480072,175.8390045,175.5859985,146.4400024,-8.416999817,-25.15399933,-16.75600052,-17.29400063,-8.126999855,-1.605999947,182.4600067,178.625,177.2440033,161.6750031,127.3359985,50.27999878,19.86100006,8.267999649,6.454999924,0.924000025,4.255000114,-0.455000013
24.3,1.6,35,850.5,0,11.5,171.2290039,171.0469971,174.8679962,175.8919983,175.6130066,146.4539948,-8.375,-25.11899948,-16.80800056,-17.36700058,-8.197999954,-1.600000024,182.2579956,178.404007,177.0690002,161.5269928,127.1800003,50.13800049,19.7329998,8.13599968,6.368999958,0.931999981,4.291999817,-0.407000005
24.1,1.7,356,852.5,0,2.5,171.098999,170.9539948,174.7830048,175.7680054,175.5169983,146.3480072,-8.498000145,-25.30900002,-16.84499931,-17.33200073,-8.107000351,-1.567999959,182.3549957,178.5310059,177.1190033,161.5169983,127.2789993,50.24499893,19.78800011,8.079000473,6.355999947,0.903999984,4.285999775,-0.451000005
24.5,1.6,17,844.8,0,0,171.1519928,171.026001,174.8150024,175.7740021,175.5099945,146.3589935,-8.430999756,-25.16399956,-16.76600075,-17.28499985,-8.078000069,-1.613999963,182.4089966,178.5579987,177.201004,161.6710052,127.3470001,50.31800079,19.84600067,8.192000389,6.431000233,0.957000017,4.336999893,-0.437000006
25.1,1.5,82,853.9,0,0,171.1920013,171.0879974,174.9429932,175.9190063,175.6109924,146.4279938,-8.383999825,-25.08600044,-16.7689991,-17.31999969,-8.090999603,-1.618000031,182.6150055,178.7189941,177.3070068,161.6679993,127.3679962,50.34600067,20.00699997,8.326000214,6.56400013,1.082000017,4.440999985,-0.393000007
25.4,1.8,123,851.3,0,0.5,171.2859955,171.1199951,174.8939972,175.7940063,175.4980011,146.401001,-8.387000084,-25.15500069,-16.79400063,-17.38400078,-8.133000374,-1.61500001,182.4190063,178.6329956,177.2050018,161.5930023,127.362999,50.34999847,19.95299911,8.256999969,6.546000004,1.029000044,4.385000229,-0.395999998
25.6,1.4,112,851.5,0,0,171.4140015,171.2510071,175.1060028,176.0460052,175.7599945,146.5059967,-8.303999901,-25.11599922,-16.7859993,-17.27300072,-8.083000183,-1.542000055,182.6009979,178.8009949,177.3110046,161.720993,127.439003,50.43999863,20.06900024,8.340000153,6.579999924,1.144999981,4.449999809,-0.352999985
24.7,1.1,161,851.8,0,1,171.1549988,171.0110016,174.7799988,175.7100067,175.375,146.2369995,-8.555000305,-25.36400032,-16.9470005,-17.38100052,-8.173999786,-1.651000023,182.3410034,178.5370026,177.1419983,161.5910034,127.3290024,50.29299927,19.97599983,8.225999832,6.487999916,1.006999969,4.374000072,-0.347000003
25.8,1.4,86,852.4,7,0,171.5160065,171.3829956,175.1260071,176.0549927,175.753006,146.5379944,-8.284000397,-25.0529995,-16.8239994,-17.28700066,-8.043000221,-1.569000006,182.2689972,178.4620056,177.0440063,161.4929962,127.2809982,50.28900146,19.88999939,8.232000351,6.480000019,1,4.348999977,-0.421999991
24.2,1.4,89,855.1,7,0.5,171.1999969,171.1009979,174.9129944,175.8320007,175.526001,146.3070068,-8.545999527,-25.28800011,-16.86599922,-17.36300087,-8.137000084,-1.580000043,182.5240021,178.598999,177.272995,161.6940002,127.3710022,50.37400055,19.94300079,8.347000122,6.579999924,1.110000014,4.414999962,-0.374000013
24.3,1.2,291,854.2,0,1.5,171.3300018,171.177002,174.9909973,175.9029999,175.5639954,146.3309937,-8.402999878,-25.15800095,-16.83200073,-17.27899933,-8.012999535,-1.595000029,182.4380035,178.6340027,177.2180023,161.6490021,127.3799973,50.34600067,20.00099945,8.359999657,6.55700016,1.077000022,4.464000225,-0.38499999
25.8,1.2,332,853.2,0,0,171.3589935,171.2359924,175.0650024,176.0319977,175.6959991,146.4989929,-8.269000053,-25.05800056,-16.80599976,-17.37599945,-8.105999947,-1.559999943,182.5169983,178.6300049,177.2929993,161.6580048,127.3399963,50.31900024,19.9260006,8.203000069,6.491000175,1.029999971,4.327000141,-0.426999986
26,1,1,850.2,1,0,171.0720062,170.9459991,174.7920074,175.7409973,175.4929962,146.3480072,-8.399999619,-25.19300079,-16.85199928,-17.34499931,-8.105999947,-1.641000032,182.6660004,178.845993,177.4620056,161.8240051,127.5419998,50.48600006,20.08699989,8.350000381,6.579999924,1.049999952,4.443999767,-0.354999989
24.5,1,345,849.2,1,1.5,171.220993,171.1089935,174.8609924,175.7660065,175.5110016,146.348999,-8.444000244,-25.16799927,-16.88299942,-17.40600014,-8.144000053,-1.623999953,182.3959961,178.5709991,177.2200012,161.6060028,127.3119965,50.29800034,19.82999992,8.170999527,6.367000103,0.912999988,4.287000179,-0.416000009
25.1,1.2,287,848.8,0,0,171.1920013,171.026001,174.852005,175.7940063,175.5160065,146.3159943,-8.493000031,-25.21299934,-16.79100037,-17.25900078,-8.050000191,-1.588000059,182.5529938,178.6840057,177.2359924,161.6399994,127.3470001,50.31800079,19.93199921,8.286000252,6.521999836,1.047999978,4.414000034,-0.338999987
25.3,1,17,849.4,0,0,171.1940002,171.0679932,174.8849945,175.8159943,175.552002,146.4429932,-8.444000244,-25.1760006,-16.81500053,-17.34000015,-8.112999916,-1.582999945,182.3939972,178.6150055,177.2769928,161.673996,127.3720016,50.29600143,19.875,8.218000412,6.46999979,1.003999949,4.350999832,-0.368999988
25.9,1,255,850.4,0,0.5,171.279007,171.151001,174.9900055,175.9089966,175.6210022,146.4889984,-8.392999649,-25.2329998,-16.875,-17.36800003,-8.196000099,-1.626999974,182.397995,178.6210022,177.2180023,161.5549927,127.3030014,50.18999863,19.8220005,8.18999958,6.445000172,0.976999998,4.34800005,-0.400999993
25.8,1.3,87,852,0,0,171.3419952,171.2089996,175.0249939,175.9029999,175.6369934,146.477005,-8.348999977,-25.17099953,-16.81800079,-17.33099937,-8.081999779,-1.547000051,182.3990021,178.548996,177.1620026,161.552002,127.3590012,50.34700012,19.99600029,8.322999954,6.565999985,1.003999949,4.335000038,-0.409000009
25.7,1,52,848.4,0,0,170.9519958,170.8049927,174.5879974,175.5050049,175.2899933,146.1900024,-8.618000031,-25.34700012,-16.94400024,-17.47200012,-8.194999695,-1.636000037,182.2599945,178.4109955,177.0919952,161.4380035,127.1139984,50.10100174,19.72299957,8.133000374,6.413000107,0.958000004,4.322999954,-0.467999995
25.6,0.8,46,849.7,0,0,171.3079987,171.1950073,175.0379944,175.9920044,175.6790009,146.4830017,-8.23900032,-25.05200005,-16.8029995,-17.36899948,-8.159000397,-1.648000002,182.4429932,178.5780029,177.2220001,161.5809937,127.2590027,50.21900177,19.87599945,8.227999687,6.489999771,0.98299998,4.289999962,-0.5
